n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
16,30,36,1,36,36,36,0.056377,1,0.056377,0.056377,0.056377,1040,1,1040,1040,1040
16,30,33,1,33,33,33,0.0197977,1,0.0197977,0.0197977,0.0197977,384,1,384,384,384
16,30,32,1,32,32,32,0.0129094,1,0.0129094,0.0129094,0.0129094,289,1,289,289,289
16,30,34,1,34,34,34,0.060005,1,0.060005,0.060005,0.060005,708,1,708,708,708
16,30,29,1,29,29,29,0.0267131,1,0.0267131,0.0267131,0.0267131,569,1,569,569,569
16,30,24,1,24,24,24,0.031236,1,0.031236,0.031236,0.031236,471,1,471,471,471
16,30,47,1,47,47,47,0.0571164,1,0.0571164,0.0571164,0.0571164,838,1,838,838,838
16,30,31,1,31,31,31,0.0257285,1,0.0257285,0.0257285,0.0257285,513,1,513,513,513
16,30,34,1,34,34,34,0.0384155,1,0.0384155,0.0384155,0.0384155,638,1,638,638,638
16,30,32,1,32,32,32,0.0488776,1,0.0488776,0.0488776,0.0488776,783,1,783,783,783
16,30,36,1,36,36,36,0.0436485,1,0.0436485,0.0436485,0.0436485,807,1,807,807,807
16,30,30,1,30,30,30,0.0229564,1,0.0229564,0.0229564,0.0229564,418,1,418,418,418
16,30,29,1,29,29,29,0.0247599,1,0.0247599,0.0247599,0.0247599,523,1,523,523,523
16,30,42,1,42,42,42,0.0686148,1,0.0686148,0.0686148,0.0686148,1341,1,1341,1341,1341
16,30,37,1,37,37,37,0.0222586,1,0.0222586,0.0222586,0.0222586,367,1,367,367,367
16,30,29,1,29,29,29,0.0533024,1,0.0533024,0.0533024,0.0533024,613,1,613,613,613
16,30,38,1,38,38,38,0.0410763,1,0.0410763,0.0410763,0.0410763,922,1,922,922,922
16,30,35,1,35,35,35,0.0558171,1,0.0558171,0.0558171,0.0558171,1080,1,1080,1080,1080
16,30,35,1,35,35,35,0.131912,1,0.131912,0.131912,0.131912,1562,1,1562,1562,1562
16,30,22,1,22,22,22,0.00912826,1,0.00912826,0.00912826,0.00912826,235,1,235,235,235
16,30,35,1,35,35,35,0.0373698,1,0.0373698,0.0373698,0.0373698,785,1,785,785,785
16,30,37,1,37,37,37,0.0602864,1,0.0602864,0.0602864,0.0602864,1023,1,1023,1023,1023
16,30,39,1,39,39,39,0.0971918,1,0.0971918,0.0971918,0.0971918,1252,1,1252,1252,1252
16,30,40,1,40,40,40,0.143495,1,0.143495,0.143495,0.143495,2051,1,2051,2051,2051
16,30,37,1,37,37,37,0.113103,1,0.113103,0.113103,0.113103,1645,1,1645,1645,1645
16,30,29,1,29,29,29,0.0280826,1,0.0280826,0.0280826,0.0280826,447,1,447,447,447
