n,p,m_total,m_count,m_mean,m_min,m_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max,isteps_total,isteps_count,isteps_mean,isteps_min,isteps_max,inumber_total,inumber_count,inumber_mean,inumber_min,inumber_max
20,10,20,1,20,20,20,204,1,204,204,204,3,1,3,3,3,219,1,219,219,219,3,1,3,3,3
20,10,22,1,22,22,22,205,1,205,205,205,3,1,3,3,3,234,1,234,234,234,3,1,3,3,3
20,10,27,1,27,27,27,204,1,204,204,204,3,1,3,3,3,219,1,219,219,219,3,1,3,3,3
20,10,15,1,15,15,15,200,1,200,200,200,3,1,3,3,3,217,1,217,217,217,3,1,3,3,3
20,10,21,1,21,21,21,202,1,202,202,202,3,1,3,3,3,246,1,246,246,246,3,1,3,3,3
20,10,22,1,22,22,22,203,1,203,203,203,3,1,3,3,3,220,1,220,220,220,3,1,3,3,3
20,10,17,1,17,17,17,202,1,202,202,202,3,1,3,3,3,202,1,202,202,202,3,1,3,3,3
20,10,13,1,13,13,13,197,1,197,197,197,2,1,2,2,2,197,1,197,197,197,2,1,2,2,2
20,10,20,1,20,20,20,201,1,201,201,201,3,1,3,3,3,216,1,216,216,216,3,1,3,3,3
20,10,19,1,19,19,19,204,1,204,204,204,3,1,3,3,3,256,1,256,256,256,3,1,3,3,3
20,10,15,1,15,15,15,199,1,199,199,199,2,1,2,2,2,199,1,199,199,199,2,1,2,2,2
20,10,23,1,23,23,23,207,1,207,207,207,3,1,3,3,3,222,1,222,222,222,3,1,3,3,3
