n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
24,20,0.000146522,1,0.000146522,0.000146522,0.000146522,354,1,354,354,354,5,1,5,5,5
24,20,0.000111161,1,0.000111161,0.000111161,0.000111161,344,1,344,344,344,4,1,4,4,4
24,20,8.6602e-05,1,8.6602e-05,8.6602e-05,8.6602e-05,341,1,341,341,341,3,1,3,3,3
24,20,0.000138308,1,0.000138308,0.000138308,0.000138308,351,1,351,351,351,4,1,4,4,4
24,20,0.000122065,1,0.000122065,0.000122065,0.000122065,358,1,358,358,358,4,1,4,4,4
24,20,0.000116793,1,0.000116793,0.000116793,0.000116793,348,1,348,348,348,4,1,4,4,4
24,20,8.7939e-05,1,8.7939e-05,8.7939e-05,8.7939e-05,319,1,319,319,319,4,1,4,4,4
24,20,0.00012319,1,0.00012319,0.00012319,0.00012319,355,1,355,355,355,5,1,5,5,5
24,20,0.000124393,1,0.000124393,0.000124393,0.000124393,353,1,353,353,353,4,1,4,4,4
24,20,0.000174042,1,0.000174042,0.000174042,0.000174042,379,1,379,379,379,5,1,5,5,5
24,20,0.000138256,1,0.000138256,0.000138256,0.000138256,356,1,356,356,356,4,1,4,4,4
24,20,9.3094e-05,1,9.3094e-05,9.3094e-05,9.3094e-05,344,1,344,344,344,4,1,4,4,4
24,20,0.000167281,1,0.000167281,0.000167281,0.000167281,362,1,362,362,362,5,1,5,5,5
24,20,0.000245148,1,0.000245148,0.000245148,0.000245148,411,1,411,411,411,5,1,5,5,5
24,20,0.000217438,1,0.000217438,0.000217438,0.000217438,391,1,391,391,391,5,1,5,5,5
24,20,7.5476e-05,1,7.5476e-05,7.5476e-05,7.5476e-05,329,1,329,329,329,4,1,4,4,4
24,20,9.784e-05,1,9.784e-05,9.784e-05,9.784e-05,318,1,318,318,318,4,1,4,4,4
24,20,0.000115793,1,0.000115793,0.000115793,0.000115793,329,1,329,329,329,4,1,4,4,4
24,20,0.000221751,1,0.000221751,0.000221751,0.000221751,384,1,384,384,384,5,1,5,5,5
24,20,0.000239011,1,0.000239011,0.000239011,0.000239011,402,1,402,402,402,4,1,4,4,4
24,20,0.000188313,1,0.000188313,0.000188313,0.000188313,392,1,392,392,392,5,1,5,5,5
24,20,8.5067e-05,1,8.5067e-05,8.5067e-05,8.5067e-05,339,1,339,339,339,4,1,4,4,4
24,20,0.0001451,1,0.0001451,0.0001451,0.0001451,361,1,361,361,361,4,1,4,4,4
24,20,9.7849e-05,1,9.7849e-05,9.7849e-05,9.7849e-05,338,1,338,338,338,4,1,4,4,4
24,20,0.000112575,1,0.000112575,0.000112575,0.000112575,365,1,365,365,365,4,1,4,4,4
24,20,0.000192497,1,0.000192497,0.000192497,0.000192497,383,1,383,383,383,5,1,5,5,5
24,20,9.3948e-05,1,9.3948e-05,9.3948e-05,9.3948e-05,335,1,335,335,335,4,1,4,4,4
24,20,0.000129367,1,0.000129367,0.000129367,0.000129367,347,1,347,347,347,4,1,4,4,4
24,20,0.000163334,1,0.000163334,0.000163334,0.000163334,344,1,344,344,344,4,1,4,4,4
24,20,0.000140475,1,0.000140475,0.000140475,0.000140475,360,1,360,360,360,5,1,5,5,5
24,20,0.000140574,1,0.000140574,0.000140574,0.000140574,367,1,367,367,367,4,1,4,4,4
24,20,0.000108442,1,0.000108442,0.000108442,0.000108442,349,1,349,349,349,4,1,4,4,4
24,20,0.000175627,1,0.000175627,0.000175627,0.000175627,373,1,373,373,373,4,1,4,4,4
